ID,Month,Year,Enrollment,Victims_Killed,Victims_Injured,Day_of_Week,During_Class,Time_Period,City,State,Density,School_Level,Location,Location_Type,Students_Killed,Staff_Killed,Students_Injured,Staff_Injured,Situation,Drive_By_,Gang_,Active_Shooter_,Preplanned_,Perpetrator_Race,Perpetrator_Affiliation,Perpetrator_Outcome,Accomplice_,Leakage,Legacy_Token,Prior_Police_Contact,Other_Weapons,Mental_Health_Concerns,Suicidal,Psychiatric_Medication,Prior_Hospitalization,Substance_Use,Trauma_History,Suspended__Expelled,School_Violence,Studied_Other_Shooters,Interest_in_Violence,Warning_Signs,Current_Stressors
111,9,2016,275,2,3,Wednesday,Yes,Afternoon Classes,Townville,SC,Rural,Elementary,Playground,Outside on School Property,Yes,No evidence of,Yes,Yes,Other,No,No evidence of,Yes,Yes,White,Former Student,Apprehended,No evidence of,Yes,No evidence of,No evidence of,No evidence of,Yes,Yes,No evidence of,No evidence of,No evidence of,Yes,Yes,No evidence of,Yes,Yes,Yes,Yes
N19,9,2004,317,1,0,Sunday,No,Night,Benton City,WA,Rural,Elementary,Hallway,Inside School Building,No evidence of,Yes,No evidence of,No evidence of,Robbery,No,Yes,No evidence of,Yes,White,Unknown,Fled & Later Apprehended,Yes,No evidence of,No evidence of,Yes,No evidence of,Yes,No evidence of,No evidence of,No evidence of,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
42,8,2006,527,2,2,Thursday,No,Not a School Day,Essex Junction,VT,Rural,Elementary,Classroom,Inside School Building,No evidence of,Yes,No evidence of,Yes,Domestic,No,No evidence of,No evidence of,Yes,Black,Other,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,Yes,Yes,No evidence of,No evidence of,No evidence of,Yes,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
74,2,2011,371,1,0,Wednesday,Yes,Morning Classes,Placerville,CA,Rural,Elementary,Office,Inside School Building,No evidence of,Yes,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,Yes,White,Staff,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
N48,5,2014,234,1,0,Tuesday,Yes,Morning Classes,Greenville,MS,Rural,Elementary,Parking Lot,Outside on School Property,No evidence of,Yes,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,Yes,Black,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
N59,9,2018,386,1,0,Wednesday,No,Night,Elyria,OH,Suburban,Elementary,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Robbery,No,No evidence of,No evidence of,Yes,White,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
141,1,2019,414,1,0,Monday,No,Night,Belmont,CA,Suburban,Elementary,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Robbery,No,Unknown,No evidence of,Yes,Unknown,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
253,5,2023,286,1,0,Thursday,No,Evening,Forestville,MD,Suburban,Elementary,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Robbery,No,Unknown,No evidence of,Yes,Black,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
228,5,2022,571,21,17,Monday,Yes,Morning Classes,Uvalde,TX,Suburban,Elementary,Inside School Building,Inside School Building,Yes,Yes,Yes,Yes,Unknown,No,No evidence of,Yes,Yes,Latino,Former Student,Killed,No evidence of,Yes,No evidence of,No evidence of,Yes,No evidence of,Yes,No evidence of,No evidence of,No evidence of,Yes,Yes,Yes,Yes,Yes,Yes,Yes
169,8,2020,207,1,1,Tuesday,No,Not a School Day,Pittsburg,PA,Suburban,Elementary,Beside Building,Outside on School Property,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Unknown,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
179,1,2021,521,1,0,Thursday,No,Before School,Wheaton-Glenmont,MD,Suburban,Elementary,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,No,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
189,4,2021,329,1,1,Sunday,No,Not a School Day,Dayton,OH,Suburban,Elementary,Playground,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
214,2,2022,227,1,0,Monday,No,Evening,Landover,MD,Suburban,Elementary,Playground,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,No,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
158,11,2019,717,2,0,Sunday,No,Night,Union City,CA,Suburban,Elementary,Parking Lot,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Unknown,Yes,Yes,No evidence of,No evidence of,Latino,None,Fled & Later Apprehended,Yes,Yes,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of
180,2,2021,503,1,0,Wednesday,No,Night,Paterson,NJ,Suburban,Elementary,Beside Building,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Unknown,No evidence of,Unknown,Black,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
24,10,2004,640,1,0,Friday,No,Evening,Hayward,CA,Suburban,Elementary,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Domestic,No,No evidence of,No evidence of,No evidence of,Unknown,None,Escaped,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
29,5,2005,535,1,0,Tuesday,No,Dismissal,Camp Hill,PA,Suburban,Elementary,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Domestic,No,No evidence of,No evidence of,Yes,Unknown,Other,Suicide,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,Yes,Yes
271,10,2023,412,1,0,Wednesday,No,Before School,Forest Hill,TX,Suburban,Elementary,Parking Lot,Outside on School Property,No evidence of,Yes,No evidence of,No evidence of,Domestic,No,No evidence of,No evidence of,Unknown,Unknown,None,Suicide,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
8,11,2002,322,1,1,Thursday,Yes,Lunch,Liberty,MO,Suburban,Elementary,Parking Lot,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Domestic,No,No evidence of,Yes,Yes,Unknown,Parent,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
N22,1,2005,572,1,0,Thursday,Yes,Morning Classes,Highland Falls,NY,Suburban,Elementary,Restroom,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Domestic,No,No evidence of,No evidence of,Yes,Black,Parent,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of
78,5,2012,404,1,0,Friday,No,Dismissal,Chapel Hill,NC,Suburban,Elementary,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Domestic,No,No evidence of,No evidence of,No evidence of,White,Parent,Fled & Later Apprehended,No evidence of,Yes,No evidence of,Yes,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,Yes,Yes
32,10,2005,800,1,0,Thursday,No,Dismissal,Fresno,CA,Suburban,Elementary,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Retaliation,Unknown,Yes,No evidence of,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
17,12,2003,560,1,1,Monday,No,Night,East Arlington,FL,Suburban,Elementary,Parking Lot,Outside on School Property,No evidence of,No evidence of,Unknown,No evidence of,Retaliation,No,Yes,No evidence of,Yes,Unknown,Student,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
97,8,2014,606,2,1,Thursday,No,Not a School Day,Newport News,VA,Suburban,Elementary,Parking Lot,Outside on School Property,No evidence of,No evidence of,Unknown,No evidence of,Retaliation,Yes,Yes,No evidence of,Yes,Unknown,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of
230,6,2022,200,1,1,Thursday,Yes,Morning Classes,Gadsden,AL,Suburban,Elementary,Front of School,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Self-Defense,No,No evidence of,No evidence of,No evidence of,Unknown,Other,Not Charged,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
82,12,2012,372,27,2,Friday,Yes,Morning Classes,Newtown,CT,Suburban,Elementary,Classroom,Inside School Building,Yes,Yes,No evidence of,Yes,Mental Health,No,No evidence of,Yes,Yes,White,Former Student,Suicide,No evidence of,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No evidence of,No evidence of,N/A,No evidence of,Yes,Yes,Yes,Yes
62,12,2008,536,1,0,Friday,No,Evening,Asheboro,NC,Suburban,Elementary,Playground,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Accident/Negligence,No,No evidence of,No evidence of,No evidence of,Unknown,Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
31,8,2005,666,1,0,Wednesday,No,Evening,Bakersfield,CA,Suburban,Elementary,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,Yes,No evidence of,No evidence of,Unknown,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
80,7,2012,395,1,0,Friday,No,Night,Pawtucket,RI,Suburban,Elementary,Beside Building,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,Yes,Black,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
85,2,2013,627,1,0,Wednesday,No,Evening,San Leandro,CA,Suburban,Elementary,Beside Building,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Black,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
N58,11,2017,334,1,0,Thursday,No,Dismissal,Flagstaff,AZ,Suburban,Elementary,Front of School,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,Yes,Unknown,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
128,7,2018,458,1,1,Tuesday,No,Not a School Day,Overland,KS,Suburban,Elementary,Beside Building,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,Yes,Asian,Other,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,Yes,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
168,7,2020,235,1,0,Tuesday,No,Night,Orangeburg,SC,Suburban,Elementary,Basketball Court,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Black,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
N73,5,2023,270,1,0,Tuesday,No,Evening,East Haven,CT,Suburban,Elementary,Front of School,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
258,6,2023,415,1,0,Monday,No,Before School,Millville,NJ,Suburban,Elementary,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,Unknown,Black,Unknown,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
69,2,2010,433,1,0,Friday,No,Before School,Tacoma,WA,Urban,Elementary,Beside Building,Outside on School Property,No evidence of,Yes,No evidence of,No evidence of,Other,No,No evidence of,No evidence of,Yes,White,None,Suicide,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,Yes,Yes
248,3,2023,1021,1,0,Wednesday,No,After School,Chicago,IL,Urban,Elementary,Playground,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Other,No,No evidence of,No evidence of,No evidence of,Latino,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
210,1,2022,479,2,0,Monday,No,Night,Houston,TX,Urban,Elementary,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Robbery,No,Yes,No evidence of,Yes,Unknown,Unknown,Escaped,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
N2,7,2000,455,2,0,Sunday,No,Evening,Glendale,CA,Urban,Elementary,Playground,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Robbery,No,No evidence of,No evidence of,Yes,Black,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
105,7,2015,587,1,0,Friday,No,Not a School Day,Converse,TX,Urban,Elementary,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Robbery,Yes,No evidence of,No evidence of,Yes,Black,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
135,9,2018,225,1,0,Monday,No,Evening,Bronx,NY,Urban,Elementary,Field (General),Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Robbery,Yes,Unknown,No evidence of,Yes,Black,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
198,8,2021,550,1,0,Saturday,No,Night,Portland,OR,Urban,Elementary,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Robbery,No,Unknown,No evidence of,Yes,Asian,Unknown,Fled & Later Apprehended,Yes,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
101,12,2014,268,1,0,Tuesday,No,Night,Pittsburgh,PA,Urban,Elementary,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
103,5,2015,275,1,1,Monday,No,Night,Cleveland,OH,Urban,Elementary,Playground,Outside on School Property,No evidence of,No evidence of,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
110,6,2016,322,1,0,Thursday,Yes,Lunch,Chicago,IL,Urban,Elementary,Parking Lot,Outside on School Property,No evidence of,Yes,No evidence of,No evidence of,Unknown,No,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
115,4,2017,548,1,0,Saturday,No,Not a School Day,Portland,OR,Urban,Elementary,Field (General),Outside on School Property,No evidence of,Unknown,No evidence of,No evidence of,Unknown,No,Unknown,No evidence of,Unknown,Black,Unknown,Escaped,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
127,7,2018,461,1,0,Sunday,No,Night,Memphis,TN,Urban,Elementary,Beside Building,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
150,8,2019,336,1,0,Saturday,No,Evening,Philadelphia,PA,Urban,Elementary,Playground,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
151,9,2019,677,1,2,Monday,No,Evening,Baltimore,MD,Urban,Elementary,Courtyard,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,No,Unknown,Unknown,Unknown,Black,Unknown,Escaped,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
154,11,2019,298,1,0,Friday,No,Evening,Dallas,TX,Urban,Elementary,Basketball Court,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
177,11,2020,798,1,0,Monday,No,Before School,Houston,TX,Urban,Elementary,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
187,3,2021,319,1,0,Saturday,No,Night,Cambridge,MA,Urban,Elementary,Basketball Court,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
204,11,2021,277,1,0,Thursday,No,Evening,Baltimore,MD,Urban,Elementary,Front of School,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
224,5,2022,389,1,0,Sunday,No,Not a School Day,Columbus,OH,Urban,Elementary,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
231,8,2022,576,1,1,Wednesday,No,Night,Philadelphia,PA,Urban,Elementary,Playground,Outside on School Property,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Unknown,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
238,10,2022,218,1,1,Saturday,No,Evening,Chicago,IL,Urban,Elementary,Playground,Outside on School Property,No evidence of,No evidence of,Unknown,No evidence of,Unknown,No,Yes,No evidence of,Unknown,Unknown,Unknown,Escaped,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
251,4,2023,288,1,1,Tuesday,No,Evening,Houston,TX,Urban,Elementary,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
267,9,2023,256,1,0,Monday,No,Not a School Day,Baltimore,MD,Urban,Elementary,Front of School,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
6,4,2002,1030,1,0,Saturday,No,Night,Baltimore,MD,Urban,Elementary,Playground,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,No,No evidence of,No evidence of,No evidence of,Unknown,Other,Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
N9,1,2003,357,1,0,Friday,No,After School,Albuquerque,NM,Urban,Elementary,Classroom,Inside School Building,No evidence of,Yes,No evidence of,No evidence of,Unknown,No,No evidence of,No evidence of,Yes,Latino,Staff,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
207,12,2021,662,1,2,Monday,No,After School,Wilmington,CA,Urban,Elementary,Playground,Outside on School Property,No evidence of,No evidence of,Yes,Unknown,Unknown,Yes,Yes,No evidence of,Unknown,Latino,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
227,5,2022,617,1,0,Friday,No,Before School,Chattanooga,TN,Urban,Elementary,Front of School,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,No,No evidence of,No evidence of,No evidence of,Black,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,Yes,Yes
