ID,Month,Year,Enrollment,Victims_Killed,Victims_Injured,Day_of_Week,During_Class,Time_Period,City,State,Density,School_Level,Location,Location_Type,Students_Killed,Staff_Killed,Students_Injured,Staff_Injured,Situation,Drive_By_,Gang_,Active_Shooter_,Preplanned_,Perpetrator_Race,Perpetrator_Affiliation,Perpetrator_Outcome,Accomplice_,Leakage,Legacy_Token,Prior_Police_Contact,Other_Weapons,Mental_Health_Concerns,Suicidal,Psychiatric_Medication,Prior_Hospitalization,Substance_Use,Trauma_History,Suspended__Expelled,School_Violence,Studied_Other_Shooters,Interest_in_Violence,Warning_Signs,Current_Stressors
47,11,2006,451,1,1,Saturday,No,Night,Oakland,CA,Urban,High,Gym,Inside School Building,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,Unknown,No evidence of,Unknown,Unknown,None,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
120,1,2018,2040,1,0,Wednesday,No,Sport Event,Philadelphia,PA,Urban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
241,11,2022,1671,1,3,Saturday,No,Sport Event,Orlando,FL,Urban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,Unknown,Unknown,Escalation of a Dispute,No,Yes,No evidence of,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
247,1,2023,740,1,0,Monday,Yes,Afternoon Classes,Washington,DC,Urban,High,Front of School,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,Unknown,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
254,5,2023,797,1,0,Wednesday,Yes,Afternoon Classes,Washington,DC,Urban,High,Parking Lot,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,Yes,Yes,No evidence of,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
N7,8,2002,5000,1,0,Thursday,No,Before School,Bronx,NY,Urban,High,Front of School,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,Yes,No evidence of,Yes,Latino,Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
N21,1,2005,1686,1,0,Friday,Yes,Lunch,Denver,CO,Urban,High,Cafeteria,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,Yes,Black,Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,Yes,Yes,Yes
N29,10,2006,3099,1,0,Thursday,No,Dismissal,Orlando,FL,Urban,High,Bus Stop on Property,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Latino,Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of
N31,3,2007,744,1,0,Friday,No,Dismissal,Los Angeles,CA,Urban,High,Outside on School Property,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,Yes,No evidence of,No evidence of,Black,Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
N40,9,2011,2968,1,2,Friday,Yes,Lunch,South Gate,CA,Urban,High,Cafeteria,Inside School Building,Yes,No evidence of,Yes,Yes,Escalation of a Dispute,No,No evidence of,No evidence of,Yes,Latino,Other,Apprehended,No evidence of,Yes,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,Yes,Yes
N42,3,2012,20,1,1,Thursday,No,Before School,Chicago,IL,Urban,High,Front of School,Outside on School Property,Yes,No evidence of,Yes,No evidence of,Escalation of a Dispute,No,Yes,No evidence of,Yes,Latino,Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,Yes,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,Yes
N44,9,2013,3500,1,3,Wednesday,No,Before School,Spring,TX,Urban,High,Cafeteria,Inside School Building,Yes,No evidence of,Yes,No evidence of,Escalation of a Dispute,No,Yes,No evidence of,No evidence of,Latino,Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
N53,11,2015,245,1,0,Tuesday,Yes,Sport Event,Baltimore,MD,Urban,High,Classroom,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,No evidence of,Black,Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
N60,9,2018,960,1,0,Wednesday,Yes,Morning Classes,Warren,MI,Urban,High,Classroom,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,Yes,Black,Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of
183,2,2021,750,1,1,Friday,No,Sport Event,New Orleans,LA,Urban,High,Hallway,Inside School Building,No evidence of,No evidence of,No evidence of,Unknown,Escalation of a Dispute,No,No evidence of,No evidence of,Yes,Black,None,Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,Yes,No evidence of,No evidence of,Yes,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,Yes,No evidence of
232,9,2022,1677,1,0,Friday,No,Dismissal,Baltimore,MD,Urban,High,Parking Lot,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,Yes,Unknown,None,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
N71,2,2023,1717,1,0,Friday,Yes,Lunch,St.Paul,MN,Urban,High,Hallway,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Escalation of a Dispute,N/A,No evidence of,N/A,No evidence of,Black,Student,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of
N1,5,2000,1412,1,1,Friday,No,Dismissal,Glendale,CA,Urban,High,Front of School,Outside on School Property,Yes,No evidence of,Yes,No evidence of,Escalation of a Dispute,No,Yes,No evidence of,No evidence of,Unknown,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
N3,10,2000,2885,1,1,Thursday,Yes,Lunch,Brooklyn,NY,Urban,High,Outside on School Property,Outside on School Property,No evidence of,No evidence of,Yes,No evidence of,Escalation of a Dispute,No,Yes,No evidence of,No evidence of,Unknown,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of
